Name,Wiki_Name,community
ABDULLAH Prince H.R.H,Abdullah Bin Musaid Al Saud,0
ABEGA Prosper,Prosper Abega,0
ABO RIDA Hany,Hany Abo Rida,0
ACHE Eduardo,Eduardo Ache,0
ACKERMANN Nair,Nair Ackermann,1
ACOSTA Francisco,Francisco Acosta,2
ADAMS Mark,Mark Adams,2
ADOUM Djibrine,Djibrine Adoum,0
AGHAZADA Sayed,Sayed Ali Reza Aghazada Sadat,0
AHMAD Ahmad,Ahmad Ahmad,0
AHMED Essam El-Din,Essam El-Din Ahmed,1
AHMED Hosny Abdelrahman,Hosny Abdelrahman Ahmed,1
AHO Lui,Lui Aho,3
AHOUANVOEBLA Sedogbo,Sedogbo Ahouanvoebla,0
AKHTER Mahfuza,Mahfuza Akhter,0
AL BUSAIDI Khalid Hamed Hamood,Sayyid Khalid Bin Hamad Al Busaidi,1
AL DELAWAR Abdulrahman,Abdulrahman Al Delawar,4
AL HARBI Ahmed Eid,Ahmed Harbi,4
AL KHALIFA Shk. Ali Bin Khalifa,Mohammed Bin Khalifa Bin Ali Al Khalifa,5
AL KHALIFA Shk. Salman Bin Ebrahim,Salman Bin Ibrahim Al Khalifa,1
AL KHELAIFI Nasser,Nasser Al-Khelaifi,5
AL MAADHEED Mohammed Ghanim Al Ali,Mohammed G A Al Maadheed,5
AL MEDLEJ Hafez,Hafez Al Madlej,6
AL NOWAISER Mohammed,Mohammed Al Nowaiser,6
AL RAJOUB Jibril,Jibril Rajoub,1
AL SABAH Sheikh Ahmad Al Fahad,Ahmed Al-Fahad Al-Ahmed Al-Sabah,7
AL SABAH Shk. Talal Fahad,Shk. Talal Fahad Al Sabah,7
AL SERKAL Yousuf,Yousuf Al-Serkal,6
AL SHAIBANI Hamid,Mohammed Ibrahim Al Shaibani,6
AL THAWADI Hassan,Hassan Al-Thawadi,1
ALAJA Pertti,Pertti Alaja,1
ALARCON Carlos,Carlos Alarcón,4
ALBERTINI Demetrio,Demetrio Albertini,4
ALEI Chabur Goc,Chabur Goc Alei,1
ALLARD Vanessa,Vanessa Allard,1
ALTASHANI Anwar,Anwar Altashani,7
ALVARADO Ariel,Ariel Alvarado,7
AMGALANBAATAR Ganbaatar,Ganbaatar Amgalanbaatar,0
ANDREASEN Christian,Christian Andreasen,0
ARAB Abdiqani Said,Abdiqani Said Arab,3
ARANETA Mariano,Mariano Araneta,3
ARCOPINTO Ferdinando,Ferdinando Arcopinto,3
ARIIOTIMA Henri,Henri Ariiotima,0
ARVELADZE Revaz,Revaz Arveladze,0
ASFA Seyed Hamed,Seyed Hamed Asfa,9
ASFURA Alfredo,Alfredo Asfura,9
ATISSON Harry,Harry Atisson,0
AULAS Jean-Michel,Jean-Michel Aulas,5
BABWAH Terence,Terence Babwah,4
BAFFOE Anthony,Anthony Baffoe,4
BAKOVIC Jasmin,Jasmin Bakovic,5
BALASINGAM Sanjeevan,Sanjeevan Balasingam,1
BARTOMEU Josep,Josep Bartomeu,5
BAUZA Sebastian,Sebastian Bauza,5
BAYOR Adjoa,Adjoa Bayor,6
BECKENBAUER Franz,Franz Beckenbauer,5
BEDOYA Luis,Luis Bedoya,9
BEEN Harry,Harry Been,0
BELIVEAU Sylvie,Sylvie Beliveau,0
BENADO Alexandra,Alexandra Benado,8
BICKERTON Andrew,Andrew Bickerton,8
BIEN AIME Sonia,Sonia Bien-Aime,8
BILARDO Carlos,Carlos Bilardo,8
BLAKE Bruce,Bruce Blake,5
BLATTER Joseph S,Joseph S Blatter,5
BOLKIAH Sufri,Sufri Bolkiah,6
BORBELY Cornel,Cornel Borbély,6
BOUCHAMAOUI Tarek,Tarek Bouchamaoui,3
BOURNGAR Djimrabaye,Djimrabaye Bourngar,3
BOUTUREIRA Serafin,Serafin Boutureira,6
BRUNELLI Marco,Marco Brunelli,6
BURGA Manuel,Manuel Burga Seoane,6
BURLEANU Razvan,Razvan Burleanu,6
BURRELL Horace,Horace Burrell,6
CABRERA Jorge,Jorge Cabrera,0
CALLEJAS Rafael,Rafael Callejas,0
CAMARA Almamy Kabele,Almamy Kabele Camara,3
CAMARA Salifou,Salifou Camara,5
CAMPBELL Peter,Peter Campbell,2
CARLOS EUGENIO,Eugenio Carlos,2
CASSELL Vincent,Vincent Cassell,3
CEBANU Pavel,Pavel Cebanu,3
